Entry: *baʔlobaʔlom | Absolutive: baʔlobaʔlomʔ | Generated Absolutive: baʔlobaʔlomʔ
Entry: *baʔloʔlo | Absolutive: baʔloʔlow | Generated Absolutive: baʔloʔlow
Entry: *baʔne·cicʼ | Absolutive: baʔne·ciʔ | Generated Absolutive: baʔne·ciʔ
Entry: *baʔpʼanh | Absolutive: baʔpʼanʔ | Generated Absolutive: baʔpʼanʔ
Entry: *baʔpʼobapʼotad | Absolutive: baʔpʼobapʼota·du | Generated Absolutive: baʔpʼobapʼota·du
Entry: *baʔpʼoʔpʼoc | Absolutive: baʔpʼoʔpʼoʔ | Generated Absolutive: baʔpʼoʔpʼoʔ
Entry: *baʔqʼac | Absolutive: baʔqʼaʔ | Generated Absolutive: baʔqʼaʔ
Entry: *baʔqʼacay | Absolutive: baʔqʼacayʔ | Generated Absolutive: baʔqʼacayʔ
Entry: *baʔqʼoʔdiwad | Absolutive: baʔqʼoʔdowa·du | Generated Absolutive: baʔqʼoʔdiwa·du
Entry: *baʔsʼa | Absolutive: baʔsʼaw | Generated Absolutive: baʔsʼaw
Entry: *baʔsʼaṭʰma | Absolutive: baʔsʼaṭʰmaw | Generated Absolutive: baʔsʼaṭʰmaw
Entry: *baʔsʼawi·bic | Absolutive: baʔsʼawi·biʔ | Generated Absolutive: baʔsʼawi·biʔ
Entry: *baʔsʼayʔci | Absolutive: None | Generated Absolutive: baʔsʼayʔciw
Entry: *baʔsʼi | Absolutive: baʔsʼiw | Generated Absolutive: baʔsʼiw
Entry: *baʔsʼil | Absolutive: baʔsʼilʔ | Generated Absolutive: baʔsʼilʔ
Entry: *baʔsʼim | Absolutive: baʔsʼimʔ | Generated Absolutive: baʔsʼimʔ
Entry: *baʔsʼuy | Absolutive: baʔsʼuyʔ | Generated Absolutive: baʔsʼuyʔ
Entry: *baʔtʼa | Absolutive: baʔtʼaw | Generated Absolutive: baʔtʼaw
Entry: *baʔtʼa | Absolutive: baʔtʼaw | Generated Absolutive: baʔtʼaw
Entry: *baʔtʼe | Absolutive: baʔtʼew | Generated Absolutive: baʔtʼew
Entry: *baʔtʼehni | Absolutive: baʔtʼehniw | Generated Absolutive: baʔtʼehniw
Entry: *baʔtʼel | Absolutive: baʔtʼelʔ | Generated Absolutive: baʔtʼelʔ
Entry: *baʔtʼem | Absolutive: baʔtʼemʔ | Generated Absolutive: baʔtʼemʔ
Entry: *baʔtʼem | Absolutive: baʔtʼemʔ | Generated Absolutive: baʔtʼemʔ
Entry: *baʔtʼenay | Absolutive: baʔtʼenayʔ | Generated Absolutive: baʔtʼenayʔ
Entry: *baʔtʼentʼele | Absolutive: baʔtʼentʼelew | Generated Absolutive: baʔtʼentʼelew
Entry: *baʔtʼeʔtʼec | Absolutive: baʔtʼeʔtʼeʔ | Generated Absolutive: baʔtʼeʔtʼeʔ
Entry: *baʔtʼil | Absolutive: baʔtʼilʔ | Generated Absolutive: baʔtʼilʔ
Entry: *baʔṭašci | Absolutive: baʔṭaš | Generated Absolutive: baʔṭašciw
Entry: *baʔṭʼebaṭʼehti | Absolutive: baʔṭʼebaṭʼehtiw | Generated Absolutive: baʔṭʼebaṭʼehtiw
Entry: *baʔṭʼebaʔṭʼec | Absolutive: baʔṭʼebaʔṭʼeʔ | Generated Absolutive: baʔṭʼebaʔṭʼeʔ
Entry: *baʔṭʼeʔṭʼe | Absolutive: baʔṭʼeʔṭʼew | Generated Absolutive: baʔṭʼeʔṭʼew
Entry: *baʔṭʼo | Absolutive: baʔṭʼow | Generated Absolutive: baʔṭʼow
Entry: *baʔṭʼuṭʰu | Absolutive: baʔṭʼuṭʰuw | Generated Absolutive: baʔṭʼuṭʰuw
Entry: *baʔwibawitad | Absolutive: baʔwibawita·du | Generated Absolutive: baʔwibawita·du
Entry: *baʔwiʔwi | Absolutive: baʔwiʔwiw | Generated Absolutive: baʔwiʔwiw
Entry: *baʔya | Absolutive: baʔyaw | Generated Absolutive: baʔyaw
Entry: *baʔyeʔye | Absolutive: baʔyeʔyew | Generated Absolutive: baʔyeʔyew
Entry: *baʔyoʔyoc | Absolutive: baʔyoʔyoʔ | Generated Absolutive: baʔyoʔyoʔ
Entry: *baʔyuʔyu | Absolutive: baʔyuʔyuw | Generated Absolutive: baʔyuʔyuw
Entry: ba·kʼiškʼiši | Absolutive: ba·kʼiškʼiši | Generated Absolutive: ba·kʼiškʼišiw
Entry: *beccicʼ | Absolutive: becciʔ | Generated Absolutive: becciʔ
Entry: beṭi | Absolutive: beṭi | Generated Absolutive: beṭiw
Entry: *beʔṭʼe | Absolutive: beʔṭʼew | Generated Absolutive: beʔṭʼew
Entry: *be·q | Absolutive: beʔ | Generated Absolutive: beʔ
Entry: *bice | Absolutive: bicew | Generated Absolutive: bicew
